theta,x0,y0,x1,y1,type,fan,char,phi,nu,pair_key,merged
0.5235987755982989,0.0,1.0,1.7320508075688772,0.0,1,0,0,0.0,0.46041368208269473,0,False
0.44520859342189667,0.0,1.0,2.09573650189073,0.0,1,0,1,0.04980080929282754,0.5102144913755222,1,False
0.3691085963482053,0.0,1.0,2.5850613711456774,0.0,1,0,2,0.09960161858565508,0.5600153006683497,2,False
0.2949373180320639,0.0,1.0,3.291663599217438,0.0,1,0,3,0.14940242787848262,0.6098161099611772,3,False
0.22241144602614632,0.0,1.0,4.421788683010551,1.1102230246251565e-16,1,0,4,0.19920323717131017,0.6596169192540047,4,False
0.19920323717131017,0.0,1.0,4.901122795370814,1.9894419359904756,2,1,0,0.19920323717131017,0.6596169192540049,0,False
0.6208179203687665,1.7320508075688772,0.0,4.361629288313807,1.8805286272725315,1,1,0,0.19920323717131017,0.6596169192540049,0,False
0.14940242787848262,4.361629288313807,1.8805286272725315,9.305930295570068,2.6247648462546036,2,1,1,0.14940242787848262,0.7094177285468324,1,False
0.5497109484786642,2.09573650189073,0.0,5.42657192832479,2.040828107961791,1,1,1,0.14940242787848262,0.7094177285468324,1,False
0.09960161858565508,5.42657192832479,2.040828107961791,10.401791218811093,2.538013195804302,2,1,2,0.09960161858565508,0.75921853783966,2,False
0.4798387109717338,2.5850613711456774,0.0,6.763372675036682,2.174417676154859,1,1,2,0.09960161858565508,0.75921853783966,2,False
0.04980080929282754,6.763372675036682,2.174417676154859,11.75717365487316,2.4233188087039936,2,1,3,0.04980080929282754,0.8090193471324876,3,False
0.4110492806185734,3.291663599217438,0.0,8.476087362468032,2.2597828373129554,1,1,3,0.04980080929282754,0.8090193471324876,3,False
0.0,8.476087362468032,2.2597828373129554,13.476087362468032,2.2597828373129554,2,1,4,0.0,0.8588201564253151,4,False
0.34321573047761755,4.421788683010551,1.1102230246251565e-16,10.74535139349489,2.2597828373129554,1,1,4,0.0,0.8588201564253151,4,False
